keyword,scope,bucket,location_name,volume,cpc,competition,competition_index,low_top_of_page_bid,high_top_of_page_bid,data_source
tiny home builder near me,general-localized,builders-near-me,United States,4400,2.09,HIGH,85,0.45,2.92,DataForSEO Google Ads search_volume/live
tiny house contractors,general,contractors,United States,40500,1.44,HIGH,68,0.33,2.51,DataForSEO Google Ads search_volume/live
tiny home contractors,general,contractors,United States,40500,1.44,HIGH,68,0.33,2.51,DataForSEO Google Ads search_volume/live
tiny house construction,general,construction,United States,4400,1.45,MEDIUM,57,0.31,2.94,DataForSEO Google Ads search_volume/live
tiny home construction,general,construction,United States,4400,1.45,MEDIUM,57,0.31,2.94,DataForSEO Google Ads search_volume/live
tiny house building codes,general,permits-codes,United States,1600,2.53,LOW,0,UNKNOWN,UNKNOWN,DataForSEO Google Ads search_volume/live
tiny house permits,general,permits-codes,United States,390,UNKNOWN,LOW,1,UNKNOWN,UNKNOWN,DataForSEO Google Ads search_volume/live
do i need a permit to build a tiny house,general,permits-codes,United States,10,UNKNOWN,LOW,0,UNKNOWN,UNKNOWN,DataForSEO Google Ads search_volume/live
tiny house builders california,california-modified,builders,United States,720,4.3,MEDIUM,46,0.66,3.4,DataForSEO Google Ads search_volume/live
tiny home builders california,california-modified,builders,United States,720,4.3,MEDIUM,46,0.66,3.4,DataForSEO Google Ads search_volume/live
tiny house contractors california,california-modified,contractors,United States,30,UNKNOWN,LOW,14,UNKNOWN,UNKNOWN,DataForSEO Google Ads search_volume/live
build tiny house california,california-modified,diy,United States,720,4.3,MEDIUM,46,0.66,3.4,DataForSEO Google Ads search_volume/live
tiny house permit california,california-modified,permits-codes,United States,20,UNKNOWN,LOW,2,UNKNOWN,UNKNOWN,DataForSEO Google Ads search_volume/live
tiny house builders los angeles,local-modified,builders-la,United States,50,4.81,MEDIUM,56,1.59,10,DataForSEO Google Ads search_volume/live
tiny home builders los angeles,local-modified,builders-la,United States,50,4.81,MEDIUM,56,1.59,10,DataForSEO Google Ads search_volume/live
tiny house contractors los angeles,local-modified,contractors-la,United States,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,DataForSEO Google Ads search_volume/live
adu builders los angeles,local-modified,adu-builders-la,United States,480,39,MEDIUM,64,10.41,57.55,DataForSEO Google Ads search_volume/live
backyard home builders los angeles,local-modified,adu-builders-la,United States,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,DataForSEO Google Ads search_volume/live
build tiny house los angeles,local-modified,diy-la,United States,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,DataForSEO Google Ads search_volume/live
tiny house permit los angeles,local-modified,permits-codes-la,United States,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,DataForSEO Google Ads search_volume/live
tiny house builders san diego,local-modified,builders-sd,United States,90,3.93,HIGH,78,0.92,4.3,DataForSEO Google Ads search_volume/live
tiny home builders san diego,local-modified,builders-sd,United States,90,3.93,HIGH,78,0.92,4.3,DataForSEO Google Ads search_volume/live
tiny house contractors san diego,local-modified,contractors-sd,United States,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,DataForSEO Google Ads search_volume/live
adu builders san diego,local-modified,adu-builders-sd,United States,480,27.15,MEDIUM,39,12.78,42.34,DataForSEO Google Ads search_volume/live
backyard home builders san diego,local-modified,adu-builders-sd,United States,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,DataForSEO Google Ads search_volume/live
build tiny house san diego,local-modified,diy-sd,United States,90,3.93,HIGH,78,0.92,4.3,DataForSEO Google Ads search_volume/live
tiny house permit san diego,local-modified,permits-codes-sd,United States,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,DataForSEO Google Ads search_volume/live
